Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764285034,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764285035,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764285036,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764285037,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764285038,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764285039,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764285040,100,,Aggregated,0.000000,0.000000,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,3,0,5900.0,5880.8437629971495,5743.95287099469,5949.538171997119,53943.333333333336
1764285041,100,,Aggregated,0.000000,0.000000,6100,6200,6500,6500,7000,7000,7000,7000,7000,7000,7000,8,0,6000.0,6194.939509248798,5743.95287099469,6975.777290994301,57936.0
1764285042,100,,Aggregated,0.000000,0.000000,6200,6700,7000,7000,7600,7600,7600,7600,7600,7600,7600,11,0,6200.0,6505.526763908909,5743.95287099469,7649.920372001361,57911.0
1764285043,100,,Aggregated,0.857143,0.000000,7600,8200,8400,8600,8700,8700,8800,8800,8800,8800,8800,21,0,7600.0,7444.585775143337,5743.95287099469,8757.134453000617,74691.95238095238
1764285044,100,,Aggregated,1.000000,0.000000,8400,8700,8800,9000,9400,9600,10000,10000,10000,10000,10000,28,0,8200.0,7905.603668143418,5743.95287099469,9952.725290000672,71148.64285714286
1764285045,100,,Aggregated,1.555556,0.000000,8800,9400,10000,10000,11000,11000,11000,11000,11000,11000,11000,42,0,8700.0,8665.841827166809,5743.95287099469,10997.154532000422,69277.85714285714
1764285046,100,,Aggregated,2.300000,0.000000,9400,10000,11000,11000,11000,11000,12000,12000,12000,12000,12000,55,0,9400.0,9227.555096109096,5743.95287099469,11721.675103995949,100302.70909090909
1764285047,100,,Aggregated,3.100000,0.000000,10000,11000,11000,11000,12000,12000,13000,13000,13000,13000,13000,67,0,10000.0,9701.870111373157,5743.95287099469,12910.003437995329,91064.40298507463
1764285048,100,,Aggregated,4.800000,0.000000,10000,11000,11000,12000,13000,13000,14000,14000,14000,14000,14000,74,0,10000.0,9901.671112905473,4075.3647120000096,13963.141653999628,93319.0
1764285049,100,,Aggregated,5.900000,0.000000,10000,11000,11000,12000,13000,14000,14000,14000,14000,14000,14000,81,0,10000.0,9961.27923723453,4075.3647120000096,13963.141653999628,91542.04938271605
1764285050,100,,Aggregated,6.700000,0.000000,10000,11000,11000,12000,13000,14000,15000,15000,15000,15000,15000,86,0,10000.0,9941.61121510453,4075.3647120000096,14962.820041000668,97127.91860465116
1764285051,100,,Aggregated,7.400000,0.000000,10000,11000,12000,12000,14000,15000,15000,16000,16000,16000,16000,91,0,10000.0,10034.845869241655,4075.3647120000096,15736.156835002475,99100.57142857143
1764285052,100,,Aggregated,8.100000,0.000000,10000,11000,12000,12000,14000,15000,16000,17000,17000,17000,17000,98,0,10000.0,10013.656220193705,4075.3647120000096,16521.283506001055,98091.86734693877
1764285053,100,,Aggregated,8.200000,0.000000,10000,11000,12000,12000,14000,15000,17000,17000,18000,18000,18000,109,0,10000.0,9904.66972756872,4075.3647120000096,17975.76144299819,95143.9633027523
