Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764381526186,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,18.75,11.764705657958984,14.285715103149414,20,20,31.428571701049805,16.666667938232422,11.428571701049805,13.88888931274414,8.823529243469238,11.428571701049805,14.285715103149414,20,20,20,14.285715103149414,11.428571701049805,11.428571701049805,11.428571701049805,11.428571701049805,11.428571701049805,8.823529243469238,17.142858505249023,13.88888931274414,13.88888931274414,21.62162208557129,11.428571701049805,11.111111640930176,8.823529243469238,14.285715103149414,14.285715103149414,11.428571701049805,139624.2314453125,123487.39868164063,0,404326326272,8589930496,12231786496,1048576
199,1764381526187,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,18.75,11.764705657958984,14.285715103149414,20,20,31.428571701049805,16.666667938232422,11.428571701049805,13.88888931274414,8.823529243469238,11.428571701049805,14.285715103149414,20,20,20,14.285715103149414,11.428571701049805,11.428571701049805,11.428571701049805,11.428571701049805,11.428571701049805,8.823529243469238,17.142858505249023,13.88888931274414,13.88888931274414,21.62162208557129,11.428571701049805,11.111111640930176,8.823529243469238,14.285715103149414,14.285715103149414,11.428571701049805,139624.23803710938,123487.42272949219,0,404326326272,8589930496,12231786496,1048576
199,1764381526387,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,0,0,5,10,9.523809432983398,15.000000953674316,0,5,0,0,0,15.000000953674316,15.000000953674316,0,4.761904716491699,0,0,0,0,0,0,9.523809432983398,0,0,0,5.263157844543457,5,10.526315689086914,19.047618865966797,4.761904716491699,4.761904716491699,9.523809432983398,139625.11499023438,123492.1557006836,0,404326326272,8589930496,12240007168,1048576
199,1764381526587,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,5.555555820465088,4.761904716491699,5.263157844543457,5,5.263157844543457,18.18181800842285,10.526315689086914,5,0,0,0,0,0,0,0,0,0,30.000001907348633,26.3157901763916,0,0,0,0,0,0,5,0,0,0,0,5,0,139625.96704101563,123496.66076660156,0,404326326272,8589930496,12245909504,1048576
199,1764381526787,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,5.555555820465088,4.761904716491699,5.263157844543457,5,5.263157844543457,18.18181800842285,10.526315689086914,5,0,0,0,0,0,0,0,0,0,30.000001907348633,26.3157901763916,0,0,0,0,0,0,5,0,0,0,0,5,0,139626.79364013672,123501.37518310547,0,404326326272,8589930496,12251836416,1048576
199,1764381526987,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,20.512821197509766,10.526315689086914,0,0,0,0,0,5.128205299377441,0,0,7.317072868347168,22.5,0,0,0,2.5,0,12.820513725280762,2.5,0,0,0,0,0,2.5641026496887207,2.4390242099761963,2.5,7.317072868347168,2.4390242099761963,0,0,5.128205299377441,139627.60528564453,123506.01257324219,0,404326326272,8589930496,12257722368,1048576
199,1764381527187,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,0,0,0,0,9.523809432983398,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,5,9.523809432983398,5,4.761904716491699,0,0,0,0,0,0,0,139628.18255615234,123510.25299072266,0,404326326272,8589930496,12256694272,1048576
199,1764381527387,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,0,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,139628.65325927734,123514.3232421875,0,404326326272,8589930496,12253724672,1048576
199,1764381527588,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,10.526315689086914,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139629.13513183594,123518.47161865234,0,404326326272,8589930496,12253724672,1048576
199,1764381527788,1099,801,800,800,800,827,853,799,969,799,799,800,804,900,800,799,887,799,799,799,799,799,899,800,952,799,827,800,806,899,800,800,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,139629.55053710938,123522.57806396484,0,404326326272,8589930496,12253724672,1048576
