Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764298035,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764298036,50,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764298037,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764298038,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764298039,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764298040,100,,Aggregated,0.000000,0.000000,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,2,0,4843.083318002755,4850.899723998737,4843.083318002755,4858.716129994718,13332.5
1764298041,100,,Aggregated,0.000000,0.000000,5100,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5,0,5100.0,5140.27393959841,4843.083318002755,5468.429535998439,32706.0
1764298042,100,,Aggregated,0.000000,0.000000,5500,5500,6900,6900,6900,6900,6900,6900,6900,6900,6900,7,0,5500.0,5641.371338713465,4843.083318002755,6902.393028998631,37833.0
1764298043,100,,Aggregated,0.833333,0.000000,6900,7100,7200,7300,7300,7600,7600,7600,7600,7600,7600,14,0,6900.0,6371.568216429815,4843.083318002755,7616.691542003537,55063.71428571428
1764298044,100,,Aggregated,0.714286,0.000000,7900,8300,8500,8500,8800,8900,9000,9000,9000,9000,9000,29,0,7900.0,7441.133337828244,4843.083318002755,8965.49551300268,53809.03448275862
1764298045,100,,Aggregated,1.625000,0.000000,8300,8600,9000,9200,9700,9800,10000,10000,10000,10000,10000,39,0,8300.0,7950.603765974871,4843.083318002755,9978.876063003554,74228.10256410256
