__run_id,__done,topology,system_size,throughput_rps,avg_latency_ms,p95_latency_ms,failure_rate,request_count,cpu_usage_avg,memory_usage_avg,energy,dram_energy,cpu_usage_eb_avg,cpu_freq_avg,memory_used_avg,memory_total
run_14_repetition_8,DONE,probabilistic_tree,20,14.724400073879368,4766.973712094924,7800.0,0.004759746146872167,8824,0.921671330359358,182664240.76190478,38654.18,10495.435,91.26,808.88,16000360049.0,404326326272.0
run_4_repetition_8,DONE,parallel_fanout,10,17.153387747782823,3810.37490560633,9100.0,0.006516875790292773,10281,1.64537325796153,340432461.57575756,38096.211,10521.47,87.9,815.84,15573711334.0,404326326272.0
run_8_repetition_0,DONE,chain_with_branching,20,8.790226651105828,9285.999702674853,16000.0,0.02486712224753227,5268,0.9824687275112989,278594446.2222222,39216.474,10564.81,96.87,861.0,18033976965.0,404326326272.0
run_8_repetition_8,DONE,chain_with_branching,20,8.813840982451007,9252.170076175598,17000.0,0.019307211811470756,5283,0.9736459146709467,274500461.71428573,39095.862,10415.448,97.04,814.12,17918766240.0,404326326272.0
run_16_repetition_6,DONE,complex_mesh,10,8.726642058354331,9359.941552405357,18000.0,0.025057383320581484,5228,1.05665971337808,243649194.66666666,30265.278,8312.837,56.23,824.81,14527044959.0,404326326272.0
run_7_repetition_0,DONE,chain_with_branching,10,17.484067297588787,3709.82682881161,6500.0,0.008777788378971472,10481,1.713062336153169,333895245.57575756,38463.189,10462.824,89.73,839.12,15671593153.0,404326326272.0
run_15_repetition_5,DONE,complex_mesh,5,6.499594078922817,13149.478630548972,27000.0,0.024659645517595686,3893,0.8692138576685001,242308892.44444445,18844.41,3787.636,27.28,2020657.39,13944100866.0,404326326272.0
run_7_repetition_7,DONE,chain_with_branching,10,17.371785519502488,3748.728146430624,6600.0,0.006735950731331794,10392,1.711860121414674,338556121.2121212,38436.638,10676.19,90.17,818.0,16653175163.0,404326326272.0
run_11_repetition_9,DONE,hierarchical_tree,20,8.835323041350524,9242.185125394491,15000.0,0.006801435858681277,5293,0.9816163510943929,203237538.53968254,39099.988,10409.438,95.69,809.06,16291675040.0,404326326272.0
run_15_repetition_6,DONE,complex_mesh,5,6.496115038277462,13197.333031475318,25000.0,0.024910118130457112,3894,0.889738052654281,241043456.0,18424.892,3465.225,26.84,832.19,12753779010.0,404326326272.0
run_10_repetition_6,DONE,hierarchical_tree,10,17.16031262883228,3823.2332343718786,6400.0,0.00379156134551818,10286,1.536386035025235,251938753.93939394,37831.179,10542.751,82.84,827.25,14372936690.0,404326326272.0
