Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764263157703,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,23.68421173095703,17.948719024658203,15.000000953674316,15.000000953674316,18.421052932739258,47.5,12.820513725280762,13.1578950881958,12.5,17.5,15.384615898132324,22.5,17.5,12.820513725280762,20,15.384615898132324,10.256410598754883,15.000000953674316,15.384615898132324,12.5,12.820513725280762,15.384615898132324,30.76923179626465,13.1578950881958,15.000000953674316,12.820513725280762,17.5,12.820513725280762,17.5,12.820513725280762,17.5,12.820513725280762,165156.5350341797,73562.9712524414,0,404326326272,8589930496,12783267840,1048576
199,1764263157703,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,23.68421173095703,17.948719024658203,15.000000953674316,15.000000953674316,18.421052932739258,47.5,12.820513725280762,13.1578950881958,12.5,17.5,15.384615898132324,22.5,17.5,12.820513725280762,20,15.384615898132324,10.256410598754883,15.000000953674316,15.384615898132324,12.5,12.820513725280762,15.384615898132324,30.76923179626465,13.1578950881958,15.000000953674316,12.820513725280762,17.5,12.820513725280762,17.5,12.820513725280762,17.5,12.820513725280762,165156.5460205078,73563.0005493164,0,404326326272,8589930496,12783267840,1048576
199,1764263157904,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,5.882352828979492,20,0,36.842105865478516,4.761904716491699,0,0,10,5,15.000000953674316,5,10,10,0,30.000001907348633,10,5,0,5,5.263157844543457,4.761904716491699,0,0,0,0,0,5.263157844543457,15.000000953674316,0,5,31.57894515991211,0,165157.65301513672,73567.99780273438,0,404326326272,8589930496,12798726144,1048576
199,1764263158104,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,12.5,5.555555820465088,5,4.761904716491699,5.263157844543457,10,5,20,5,4.761904716491699,5.263157844543457,5.263157844543457,10,36.842105865478516,5,5,0,35,20,30.000001907348633,10,9.090909004211426,5,28.571430206298828,0,0,10.526315689086914,5,40,9.523809432983398,5,0,165158.73889160156,73573.15515136719,0,404326326272,8589930496,12820901888,1048576
199,1764263158304,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,0,0,0,0,0,5,5,5,0,0,0,0,5,25,0,0,0,36.842105865478516,0,55,5,0,0,0,0,0,0,4.761904716491699,90,0,0,4.761904716491699,165159.72399902344,73578.36993408203,0,404326326272,8589930496,12833247232,1048576
199,1764263158504,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,5,5,0,0,0,0,0,4.761904716491699,0,0,0,0,0,9.090909004211426,10,0,0,0,0,0,10.526315689086914,0,5,0,0,0,0,0,0,0,0,0,165160.50885009766,73582.83972167969,0,404326326272,8589930496,12832432128,1048576
199,1764263158704,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4.761904716491699,0,0,9.090909004211426,5,5,5,0,5,0,0,5,165161.05682373047,73587.01177978516,0,404326326272,8589930496,12833206272,1048576
199,1764263158904,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,0,0,0,0,0,0,9.523809432983398,0,4.761904716491699,0,4.761904716491699,5,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,9.523809432983398,5,0,165161.79583740234,73591.38537597656,0,404326326272,8589930496,12833206272,1048576
199,1764263159104,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,0,5,0,0,0,0,0,0,5,0,5,5,4.761904716491699,0,0,10,5,0,0,0,0,0,0,0,0,4.761904716491699,5.263157844543457,0,0,0,0,0,165162.51623535156,73595.75372314453,0,404326326272,8589930496,12831584256,1048576
199,1764263159305,800,823,799,800,800,800,800,799,835,1199,799,800,800,800,802,800,800,800,800,800,800,800,799,799,800,800,824,900,800,799,800,799,5,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,165163.06567382813,73600.00299072266,0,404326326272,8589930496,12831584256,1048576
