Topology,,Seq FO,Seq FO,Seq FO,Par FO,Par FO,Par FO,Chain,Chain,Chain,Hierarchical,Hierarchical,Hierarchical,Probabilistic,Probabilistic,Probabilistic,Mesh,Mesh,Mesh
Size,,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20,5,10,20
Metric,Stat,,,,,,,,,,,,,,,,,,
Throughput (RPS),Mean,22.692585269752268,17.151196401431015,8.584558050262618,24.728206390085752,17.10251340238445,7.90863834345239,24.649268409597273,17.423599139904194,8.796280503857936,23.166598700148818,17.19442698985398,8.818975073077786,18.285630267469163,23.63117996106148,14.722791169013075,6.359539914258481,8.60395296970211,8.82341483953847
Throughput (RPS),Min,22.459720194809165,17.003273017572603,8.556983689554935,24.239396263346244,17.026338332499897,7.268329353316715,24.529773611033523,17.311604010851585,8.766487182886891,22.79059737774909,17.140681652393212,8.78070099155209,17.938820376100917,23.45071467333761,14.651963425506278,6.157625834791805,8.436001211153185,8.789467779313135
Throughput (RPS),50%,22.751386530621573,17.158539824755827,8.585600251507959,24.67064699301456,17.112028152866813,8.042331231535936,24.554832688348544,17.43993431529946,8.794680429553402,23.191517820371637,17.189676767017126,8.820918350583902,18.254595906873682,23.559299042462264,14.724680217316035,6.4003022617870595,8.59685929791769,8.822751450822857
Throughput (RPS),Max,22.881706234906385,17.223611314639722,8.61971774606611,25.09611502987388,17.156743360891944,8.2854952485509,24.947339629565985,17.484067297588787,8.822138654208008,23.424046528311557,17.245886554534795,8.848531638326326,18.734837296853907,23.89954796702871,14.795938061950103,6.499594078922817,8.819650901978946,8.852930273212293
Throughput (RPS),Std,0.1492323534764674,0.0623776678406029,0.020313151228499752,0.30571700470162294,0.043071840862674377,0.3703979929115602,0.17105758524581982,0.05501967705214114,0.019251688393987127,0.18628919781205538,0.03863711431917065,0.02186190059417163,0.28033061338429266,0.15119709430700776,0.04010314376924225,0.13412606858022652,0.12652365355726636,0.020145147207125763
Throughput (RPS),CV,0.657626055835006,0.3636928082486327,0.2366243097147946,1.2363088526476942,0.2518450934625156,4.683461005878654,0.6939661753986094,0.3157767612211243,0.21886169257044025,0.804128392878229,0.22470719345267792,0.2478961604156334,1.5330650859927513,0.6398203329505523,0.27238818583290764,2.1090530193781407,1.4705293485774005,0.228314632979214
Latency (s),Mean,2.4010269792252714,3.8181766401967847,9.562511708650314,2.038924935775821,3.8268211744541105,10.528906964954219,2.0509536045448917,3.724754541757698,9.27555663903462,2.3119460144711805,3.80050396276775,9.256763632053923,3.455579342976536,2.225510297448438,4.770759626841502,13.514712988387378,9.515393932410339,9.24756084123521
Latency (s),Min,2.370806294949828,3.7905027077927773,9.527815309454208,1.975640898752696,3.807165870436451,9.9753230087821,1.9939123903512337,3.703628119091619,9.246053091250396,2.257893923985285,3.7723182183686377,9.206763801672718,3.327576753152945,2.178473626445059,4.732316061014685,13.149478630548973,9.25641151237694,9.210667806298105
Latency (s),50%,2.3921837521220244,3.8128878135852045,9.565167302386186,2.0487839910398313,3.816721548812001,10.293603055012778,2.0672241479834703,3.717677383925346,9.279867452923693,2.3092745646995767,3.804776475429546,9.255983055866825,3.46545379588734,2.2397314637126815,4.766454167479127,13.43079497551991,9.509336385491663,9.24159425975402
Latency (s),Max,2.445031132930574,3.859840691954727,9.589420326510076,2.115363850838278,3.871338300885978,11.58268864716261,2.076563520752556,3.7532543160807874,9.311564099449017,2.3746780117831254,3.823233234371879,9.301754856652806,3.559294166649596,2.252412317796774,4.801811398926921,14.004907784746448,9.720500579198385,9.29308243639865
Latency (s),Std,0.028927724557901643,0.020600721425608322,0.02450231211479368,0.047684232607439474,0.02107709990843009,0.6096848616818258,0.031295082163529,0.019112942804505907,0.022659204637978596,0.03321466672262747,0.018877890941781782,0.03331451467700023,0.08272005308325463,0.028955649673177607,0.02087746329904844,0.3177707830955344,0.1604900737571858,0.030376397888398833
Latency (s),CV,1.2048063103079176,0.5395434356998889,0.2562330155646107,2.3386948568214643,0.5507730554312276,5.790580766941717,1.5258795759289445,0.5131329484999185,0.24428943210395743,1.4366540790626885,0.4967207277435331,0.359893759862682,2.393811424164898,1.3010791145911769,0.4376129784780298,2.3512950912726107,1.686636148720457,0.32848010853791165
Energy (kJ),Mean,28.3353839,37.856807700000005,38.891641699999994,30.4388126,38.0443314,36.851509,30.3983761,38.4404235,39.078281499999996,28.881629699999998,37.8976269,39.119906,19.7358367,29.107763999999996,38.67223370000001,18.4216353,29.828843499999998,39.124316900000004
Energy (kJ),Min,28.078937999999997,37.722669,38.800836000000004,30.082348999999997,37.959299,34.980997,30.137912,38.395599000000004,38.977313,28.640195,37.791624000000006,39.053338000000004,19.552526999999998,28.903525000000002,38.622962,18.284727,29.374096,39.085325
Energy (kJ),50%,28.349940500000002,37.8687565,38.8858135,30.365091,38.0368165,37.305555999999996,30.328762,38.4344885,39.088912,28.9483115,37.9241945,39.1120315,19.7115665,29.0452065,38.676388,18.376679000000003,29.851424,39.1283975
Energy (kJ),Max,28.645631,37.950647,38.996635000000005,30.793776,38.135186999999995,37.911243999999996,30.791576,38.498329,39.216474000000005,29.114409,37.957403,39.176474,19.958351999999998,29.423938,38.716105999999996,18.84441,30.278764,39.189386
Energy (kJ),Std,0.20184663837811295,0.0748145822447426,0.056180222775654945,0.27415364412606386,0.062341625177902156,1.0887709784799666,0.2178656737877464,0.037677141432173586,0.06999831846432829,0.17840949902653658,0.05480506505475084,0.037792570386842354,0.10743202229011828,0.18289279095385036,0.030114150793455766,0.15806159578893428,0.34146962761902744,0.02940526339298946
Energy (kJ),CV,0.712348345413146,0.19762517441411892,0.14445320464745245,0.9006712834983053,0.16386574000325885,2.95448139852283,0.7167016852184628,0.09801437653821266,0.1791233282976589,0.6177265648778005,0.1446134482229304,0.09660700715089232,0.5443499757480172,0.6283299224009455,0.07787021310190252,0.8580215231431397,1.144763214232652,0.07515853495448366
CPU Utilization (%),Mean,1.7892624789811813,1.5733455753048866,0.9361870045424494,1.8744313807464974,1.6467783559326183,0.8763528253888829,1.8639231593220136,1.7164298043920574,0.9708989905968994,1.8058831397767858,1.5717280457836291,0.9741670994124713,1.204792965819532,1.0273617776825565,0.9129644928670538,0.879534215568999,1.0441082292769093,0.9726570082454833
CPU Utilization (%),Min,1.7678296127713409,1.5421606462908584,0.9248464167632048,1.8526351573301405,1.6234160418542092,0.7990450841140263,1.831864885674129,1.7010653306044996,0.9617874821826936,1.7491582149250775,1.5335554490721777,0.9571614094354574,1.17684841078997,1.0075629773385404,0.8998542502656106,0.8579799831020942,1.0285169377633023,0.9552913054456336
CPU Utilization (%),50%,1.7845804576153859,1.5743853616276466,0.9338508810788968,1.8717124241404632,1.6460546706698285,0.8859482197523598,1.8652079688699026,1.7151100546715958,0.9695898025937578,1.8152728377628935,1.5781275714516552,0.9790671330218979,1.199882962905395,1.028792691304599,0.9143403126345255,0.8789327772535376,1.0440723167670822,0.9712385157869108
